Rank,ÿÿÿWord,Part of speech,Frequency,Dispersion
107,ÿÿÿeven,r,361067,0.98
108,ÿÿÿback,r,367844,0.94
109,ÿÿÿany,d,348100,0.98
110,ÿÿÿgood,j,353973,0.96
111,ÿÿÿwoman,n,341422,0.98
112,ÿÿÿthrough,i,340921,0.98
113,ÿÿÿus,p,351088,0.95
114,ÿÿÿlife,n,333085,0.98
115,ÿÿÿchild,n,333849,0.97
116,ÿÿÿthere,r,333433,0.93
117,ÿÿÿwork,v,318210,0.98
118,ÿÿÿdown,r,329409,0.94
119,ÿÿÿmay,v,324569,0.95
120,ÿÿÿafter,i,311902,0.98
121,ÿÿÿshould,v,310265,0.98
122,ÿÿÿcall,v,308050,0.97
123,ÿÿÿworld,n,303506,0.97
124,ÿÿÿover,i,300349,0.98
125,ÿÿÿschool,n,304183,0.95
126,ÿÿÿstill,r,296953,0.97
127,ÿÿÿtry,v,294023,0.96
128,ÿÿÿin,r,285035,0.98
129,ÿÿÿas,r,281483,0.98
130,ÿÿÿlast,m,289843,0.95
131,ÿÿÿask,v,284632,0.96
132,ÿÿÿneed,v,276744,0.98
133,ÿÿÿtoo,r,280396,0.96
134,ÿÿÿfeel,v,275214,0.95
135,ÿÿÿthree,m,266744,0.98
136,ÿÿÿwhen,r,268219,0.97
137,ÿÿÿstate,n,272193,0.94
138,ÿÿÿnever,r,262584,0.96
139,ÿÿÿbecome,v,259102,0.97
140,ÿÿÿbetween,i,264158,0.94
141,ÿÿÿhigh,j,255936,0.96
142,ÿÿÿreally,r,263414,0.91
143,ÿÿÿsomething,p,254910,0.94
144,ÿÿÿmost,r,246360,0.96
145,ÿÿÿanother,d,240646,0.98
146,ÿÿÿmuch,d,244507,0.97
147,ÿÿÿfamily,n,243267,0.97
148,ÿÿÿown,d,240452,0.98
149,ÿÿÿout,i,242443,0.96
150,ÿÿÿleave,v,240482,0.96
151,ÿÿÿput,v,237480,0.96
152,ÿÿÿold,j,236577,0.96
153,ÿÿÿwhile,c,234555,0.97
154,ÿÿÿmean,v,242198,0.93
155,ÿÿÿon,r,236980,0.95
156,ÿÿÿkeep,v,231760,0.96
157,ÿÿÿstudent,n,255047,0.88
158,ÿÿÿwhy,r,235442,0.95
159,ÿÿÿlet,v,240300,0.93
160,ÿÿÿgreat,j,225005,0.97
161,ÿÿÿsame,d,222836,0.98
162,ÿÿÿbig,j,227169,0.96
163,ÿÿÿgroup,n,229435,0.93
164,ÿÿÿbegin,v,218617,0.98
165,ÿÿÿseem,v,219627,0.97
166,ÿÿÿcountry,n,223138,0.95
167,ÿÿÿhelp,v,216082,0.98
168,ÿÿÿtalk,v,229429,0.92
169,ÿÿÿwhere,c,213744,0.98
170,ÿÿÿturn,v,221392,0.94
171,ÿÿÿproblem,n,217728,0.96
172,ÿÿÿevery,a,212739,0.97
173,ÿÿÿstart,v,213952,0.96
174,ÿÿÿhand,n,225247,0.91
175,ÿÿÿmight,v,209059,0.98
176,ÿÿÿAmerican,j,214968,0.95
177,ÿÿÿshow,v,208037,0.98
178,ÿÿÿpart,n,207861,0.98
179,ÿÿÿabout,r,208550,0.97
180,ÿÿÿagainst,i,204379,0.98
181,ÿÿÿplace,n,202427,0.98
182,ÿÿÿover,r,208260,0.95
183,ÿÿÿsuch,d,207065,0.95
184,ÿÿÿagain,r,206895,0.94
185,ÿÿÿfew,d,197266,0.97
186,ÿÿÿcase,n,200773,0.95
187,ÿÿÿmost,d,197086,0.96
188,ÿÿÿweek,n,199268,0.95
189,ÿÿÿcompany,n,203345,0.93
190,ÿÿÿwhere,r,194427,0.96
191,ÿÿÿsystem,n,200175,0.94
192,ÿÿÿeach,d,196522,0.95
193,ÿÿÿright,r,205250,0.9
194,ÿÿÿprogram,n,195985,0.93
195,ÿÿÿhear,v,196070,0.93
196,ÿÿÿso,c,191893,0.95
197,ÿÿÿquestion,n,192070,0.95
198,ÿÿÿduring,i,190729,0.95
199,ÿÿÿwork,n,187533,0.97
200,ÿÿÿplay,v,188328,0.96
201,ÿÿÿgovernment,n,191314,0.94
202,ÿÿÿrun,v,187325,0.96
203,ÿÿÿsmall,j,185463,0.97
204,ÿÿÿnumber,n,186005,0.96
205,ÿÿÿoff,r,183854,0.95
206,ÿÿÿalways,r,179474,0.97
207,ÿÿÿmove,v,179388,0.97
208,ÿÿÿlike,v,182341,0.95
209,ÿÿÿnight,n,184511,0.93
210,ÿÿÿlive,v,176144,0.98
211,ÿÿÿMr,n,188555,0.91
212,ÿÿÿpoint,n,177481,0.97
213,ÿÿÿbelieve,v,178397,0.96
214,ÿÿÿhold,v,177368,0.97
215,ÿÿÿtoday,r,183724,0.93
216,ÿÿÿbring,v,174366,0.98
217,ÿÿÿhappen,v,182714,0.93
218,ÿÿÿnext,m,176306,0.96
219,ÿÿÿwithout,i,172448,0.98
220,ÿÿÿbefore,i,172769,0.98
221,ÿÿÿlarge,j,175611,0.96
222,ÿÿÿall,r,177317,0.93
223,ÿÿÿmillion,m,176895,0.93
224,ÿÿÿmust,v,171043,0.96
225,ÿÿÿhome,n,170527,0.96
226,ÿÿÿunder,i,164766,0.98
227,ÿÿÿwater,n,167666,0.96
228,ÿÿÿroom,n,172472,0.92
229,ÿÿÿwrite,v,161824,0.98
230,ÿÿÿmother,n,169407,0.93
231,ÿÿÿarea,n,165812,0.95
232,ÿÿÿnational,j,166359,0.95
233,ÿÿÿmoney,n,164794,0.95
234,ÿÿÿstory,n,163582,0.96
235,ÿÿÿyoung,j,160011,0.98
236,ÿÿÿfact,n,164401,0.95
237,ÿÿÿmonth,n,162685,0.96
238,ÿÿÿdifferent,j,162411,0.96
239,ÿÿÿlot,n,169570,0.92
240,ÿÿÿright,n,163259,0.95
241,ÿÿÿstudy,n,174069,0.88
242,ÿÿÿbook,n,154013,0.98
243,ÿÿÿeye,n,169150,0.89
244,ÿÿÿjob,n,154743,0.96
245,ÿÿÿword,n,152891,0.97
246,ÿÿÿthough,c,152182,0.97
247,ÿÿÿbusiness,n,154468,0.95
248,ÿÿÿissue,n,156417,0.94
249,ÿÿÿside,n,152559,0.96
250,ÿÿÿkind,n,155032,0.95
251,ÿÿÿfour,m,150646,0.97
252,ÿÿÿhead,n,160131,0.91
253,ÿÿÿfar,r,148621,0.98
254,ÿÿÿblack,j,150718,0.96
255,ÿÿÿlong,j,149050,0.97
256,ÿÿÿboth,d,146338,0.97
257,ÿÿÿlittle,j,149658,0.94
258,ÿÿÿhouse,n,149251,0.94
259,ÿÿÿyes,u,157364,0.89
260,ÿÿÿafter,c,142289,0.98
261,ÿÿÿsince,c,141264,0.98
262,ÿÿÿlong,r,142007,0.97
263,ÿÿÿprovide,v,150879,0.91
264,ÿÿÿservice,n,146122,0.94
265,ÿÿÿaround,i,143766,0.96
266,ÿÿÿfriend,n,142697,0.96
267,ÿÿÿimportant,j,144194,0.95
268,ÿÿÿfather,n,145051,0.93
269,ÿÿÿsit,v,147185,0.92
270,ÿÿÿaway,r,144713,0.93
271,ÿÿÿuntil,c,140819,0.96
272,ÿÿÿpower,n,141357,0.95
273,ÿÿÿhour,n,138955,0.96
274,ÿÿÿgame,n,146311,0.92
275,ÿÿÿoften,r,140731,0.95
276,ÿÿÿyet,r,135484,0.98
277,ÿÿÿline,n,135986,0.98
278,ÿÿÿpolitical,j,144437,0.92
279,ÿÿÿend,n,134104,0.98
280,ÿÿÿamong,i,138192,0.94
281,ÿÿÿever,r,135774,0.96
282,ÿÿÿstand,v,140937,0.92
283,ÿÿÿbad,j,134910,0.96
284,ÿÿÿlose,v,134102,0.97
285,ÿÿÿhowever,r,142282,0.91
286,ÿÿÿmember,n,134731,0.95
287,ÿÿÿpay,v,133133,0.96
288,ÿÿÿlaw,n,133706,0.95
289,ÿÿÿmeet,v,128737,0.98
290,ÿÿÿcar,n,133571,0.94
291,ÿÿÿcity,n,132684,0.95
292,ÿÿÿalmost,r,127907,0.98
293,ÿÿÿinclude,v,133563,0.93
294,ÿÿÿcontinue,v,126029,0.98
295,ÿÿÿset,v,127369,0.97
296,ÿÿÿlater,r,126495,0.98
297,ÿÿÿcommunity,n,133057,0.93
298,ÿÿÿmuch,r,126029,0.98
299,ÿÿÿname,n,127139,0.97
300,ÿÿÿfive,m,125571,0.97
301,ÿÿÿonce,r,126203,0.97
302,ÿÿÿwhite,j,126760,0.96
303,ÿÿÿleast,r,123961,0.98
304,ÿÿÿpresident,n,134203,0.9
305,ÿÿÿlearn,v,124346,0.97
306,ÿÿÿreal,j,124187,0.97
307,ÿÿÿchange,v,123183,0.98
308,ÿÿÿteam,n,131489,0.92
309,ÿÿÿminute,n,126660,0.95
310,ÿÿÿbest,j,124850,0.96
311,ÿÿÿseveral,d,124039,0.97
312,ÿÿÿidea,n,122140,0.98
313,ÿÿÿkid,n,126428,0.95
314,ÿÿÿbody,n,125165,0.96
315,ÿÿÿinformation,n,127331,0.94
316,ÿÿÿnothing,p,126717,0.94
317,ÿÿÿago,r,125252,0.95
318,ÿÿÿright,j,126278,0.94
319,ÿÿÿlead,v,122691,0.97
320,ÿÿÿsocial,j,132899,0.89
321,ÿÿÿunderstand,v,121354,0.97
322,ÿÿÿwhether,c,121921,0.96
323,ÿÿÿback,n,125006,0.94
324,ÿÿÿwatch,v,124976,0.94
325,ÿÿÿtogether,r,119186,0.98
326,ÿÿÿfollow,v,119425,0.97
327,ÿÿÿaround,r,122789,0.94
328,ÿÿÿparent,n,119610,0.97
329,ÿÿÿonly,j,117700,0.98
330,ÿÿÿstop,v,121481,0.94
331,ÿÿÿface,n,127291,0.89
332,ÿÿÿanything,p,120292,0.94
333,ÿÿÿcreate,v,119419,0.95
334,ÿÿÿpublic,j,119825,0.95
335,ÿÿÿalready,r,115220,0.98
336,ÿÿÿspeak,v,117358,0.96
337,ÿÿÿothers,n,115771,0.97
338,ÿÿÿread,v,114094,0.97
339,ÿÿÿlevel,n,121704,0.91
340,ÿÿÿallow,v,114892,0.97
341,ÿÿÿadd,v,117842,0.94
342,ÿÿÿoffice,n,114791,0.97
343,ÿÿÿspend,v,114569,0.97
344,ÿÿÿdoor,n,124993,0.88
345,ÿÿÿhealth,n,117762,0.94
346,ÿÿÿperson,n,113650,0.97
347,ÿÿÿart,n,117851,0.93
348,ÿÿÿsure,j,116186,0.94
349,ÿÿÿsuch,i,119125,0.92
350,ÿÿÿwar,n,117804,0.93
351,ÿÿÿhistory,n,114904,0.95
352,ÿÿÿparty,n,112962,0.96
353,ÿÿÿwithin,i,114599,0.93
354,ÿÿÿgrow,v,110020,0.97
355,ÿÿÿresult,n,116277,0.92
356,ÿÿÿopen,v,111857,0.94
357,ÿÿÿchange,n,112426,0.94
358,ÿÿÿmorning,n,114002,0.92
359,ÿÿÿwalk,v,113787,0.92
360,ÿÿÿreason,n,106863,0.97
361,ÿÿÿlow,j,108990,0.95
362,ÿÿÿwin,v,111478,0.93
363,ÿÿÿresearch,n,114802,0.9
364,ÿÿÿgirl,n,110409,0.93
365,ÿÿÿguy,n,110409,0.93
366,ÿÿÿearly,j,108171,0.95
367,ÿÿÿfood,n,107728,0.96
368,ÿÿÿbefore,c,107448,0.96
369,ÿÿÿmoment,n,109720,0.94
370,ÿÿÿhimself,p,109288,0.94
371,ÿÿÿair,n,105932,0.96
372,ÿÿÿteacher,n,116100,0.88
373,ÿÿÿforce,n,108005,0.95
374,ÿÿÿoffer,v,106473,0.96
375,ÿÿÿenough,r,105880,0.96
376,ÿÿÿboth,r,106361,0.95
377,ÿÿÿeducation,n,113731,0.89
378,ÿÿÿacross,i,105559,0.96
379,ÿÿÿalthough,c,107925,0.93
380,ÿÿÿremember,v,106879,0.94
381,ÿÿÿfoot,n,107285,0.94
382,ÿÿÿsecond,m,103621,0.97
383,ÿÿÿboy,n,107447,0.93
384,ÿÿÿmaybe,r,108421,0.92
385,ÿÿÿtoward,i,105984,0.94
386,ÿÿÿable,j,103171,0.97
387,ÿÿÿage,n,103402,0.96
388,ÿÿÿoff,i,104122,0.95
389,ÿÿÿpolicy,n,107601,0.92
390,ÿÿÿeverything,p,103591,0.95
391,ÿÿÿlove,v,103681,0.95
392,ÿÿÿprocess,n,107341,0.91
393,ÿÿÿmusic,n,102657,0.95
394,ÿÿÿincluding,i,103650,0.94
395,ÿÿÿconsider,v,101987,0.96
396,ÿÿÿappear,v,100671,0.97
397,ÿÿÿactually,r,105155,0.92
398,ÿÿÿbuy,v,101105,0.95
399,ÿÿÿprobably,r,99754,0.96
400,ÿÿÿhuman,j,101224,0.94
401,ÿÿÿwait,v,102463,0.93
402,ÿÿÿserve,v,99660,0.95
403,ÿÿÿmarket,n,100435,0.94
404,ÿÿÿdie,v,98376,0.96
405,ÿÿÿsend,v,96613,0.97
406,ÿÿÿexpect,v,95566,0.98
407,ÿÿÿhome,r,97937,0.95
408,ÿÿÿsense,n,95896,0.97
409,ÿÿÿbuild,v,96651,0.96
410,ÿÿÿstay,v,96933,0.96
411,ÿÿÿfall,v,96908,0.95
412,ÿÿÿoh,u,103613,0.89
413,ÿÿÿnation,n,97212,0.95
414,ÿÿÿplan,n,95824,0.96
415,ÿÿÿcut,v,96012,0.95
416,ÿÿÿcollege,n,97038,0.94
417,ÿÿÿinterest,n,96620,0.95
418,ÿÿÿdeath,n,93222,0.98
419,ÿÿÿcourse,r,96224,0.95
420,ÿÿÿsomeone,p,95608,0.95
421,ÿÿÿexperience,n,98106,0.93
422,ÿÿÿbehind,i,95047,0.93
423,ÿÿÿreach,v,92375,0.96
424,ÿÿÿlocal,j,92970,0.95
425,ÿÿÿkill,v,92660,0.95
426,ÿÿÿsix,m,90571,0.97
427,ÿÿÿremain,v,91319,0.96
428,ÿÿÿeffect,n,95216,0.92
429,ÿÿÿuse,n,96564,0.9
430,ÿÿÿyeah,u,103389,0.84
431,ÿÿÿsuggest,v,92643,0.93
432,ÿÿÿclass,n,91323,0.94
433,ÿÿÿcontrol,n,90301,0.94
434,ÿÿÿraise,v,87036,0.98
435,ÿÿÿcare,n,88862,0.96
436,ÿÿÿperhaps,r,87060,0.98
437,ÿÿÿlittle,r,88697,0.95
438,ÿÿÿlate,j,86421,0.98
439,ÿÿÿhard,j,86817,0.97
440,ÿÿÿfield,n,87243,0.96
441,ÿÿÿelse,r,87876,0.95
442,ÿÿÿpass,v,86184,0.97
443,ÿÿÿformer,d,88930,0.94
444,ÿÿÿsell,v,87865,0.95
445,ÿÿÿmajor,j,87487,0.95
446,ÿÿÿsometimes,r,84845,0.98
447,ÿÿÿrequire,v,89280,0.93
448,ÿÿÿalong,i,84926,0.97
449,ÿÿÿdevelopment,n,91995,0.9
450,ÿÿÿthemselves,p,85256,0.97
451,ÿÿÿreport,v,88138,0.93
452,ÿÿÿrole,n,88666,0.92
453,ÿÿÿbetter,j,83895,0.98
454,ÿÿÿeconomic,j,90392,0.91
455,ÿÿÿeffort,n,86473,0.95
456,ÿÿÿup,i,85759,0.95
457,ÿÿÿdecide,v,84035,0.97
458,ÿÿÿrate,n,87224,0.94
459,ÿÿÿstrong,j,83677,0.98
460,ÿÿÿpossible,j,85084,0.96
461,ÿÿÿheart,n,84536,0.96
462,ÿÿÿdrug,n,86231,0.94
463,ÿÿÿshow,n,86828,0.94
464,ÿÿÿleader,n,85438,0.95
465,ÿÿÿlight,n,87427,0.93
466,ÿÿÿvoice,n,89379,0.9
467,ÿÿÿwife,n,83601,0.96
468,ÿÿÿwhole,j,83756,0.96
469,ÿÿÿpolice,n,85880,0.93
470,ÿÿÿmind,n,82808,0.96
471,ÿÿÿfinally,r,81951,0.97
472,ÿÿÿpull,v,87243,0.91
473,ÿÿÿreturn,v,81812,0.97
474,ÿÿÿfree,j,82090,0.97
475,ÿÿÿmilitary,j,85152,0.93
476,ÿÿÿprice,n,84443,0.94
477,ÿÿÿreport,n,83174,0.95
478,ÿÿÿless,r,82930,0.95
479,ÿÿÿaccording,i,83773,0.94
480,ÿÿÿdecision,n,82429,0.95
481,ÿÿÿexplain,v,80797,0.97
482,ÿÿÿson,n,80895,0.97
483,ÿÿÿhope,v,81385,0.96
484,ÿÿÿeven,c,79087,0.98
485,ÿÿÿdevelop,v,84835,0.92
486,ÿÿÿview,n,81338,0.96
487,ÿÿÿrelationship,n,84549,0.92
488,ÿÿÿcarry,v,79513,0.97
489,ÿÿÿtown,n,79821,0.97
490,ÿÿÿroad,n,80987,0.95
491,ÿÿÿdrive,v,80476,0.96
492,ÿÿÿarm,n,84865,0.91
493,ÿÿÿtrue,j,79299,0.97
494,ÿÿÿfederal,j,81826,0.94
495,ÿÿÿbreak,v,79310,0.97
496,ÿÿÿbetter,r,78334,0.98
497,ÿÿÿdifference,n,82911,0.92
498,ÿÿÿthank,v,88574,0.86
499,ÿÿÿreceive,v,80250,0.95
500,ÿÿÿvalue,n,82942,0.92
501,ÿÿÿinternational,j,81610,0.93
502,ÿÿÿbuilding,n,78487,0.97
503,ÿÿÿaction,n,80009,0.95
504,ÿÿÿfull,j,77547,0.97
505,ÿÿÿmodel,n,82973,0.91
506,ÿÿÿjoin,v,80609,0.93
507,ÿÿÿseason,n,83743,0.89
508,ÿÿÿsociety,n,81192,0.92
509,ÿÿÿbecause,i,77116,0.97
510,ÿÿÿtax,n,80713,0.92
511,ÿÿÿdirector,n,79813,0.93
512,ÿÿÿearly,r,75605,0.98
513,ÿÿÿposition,n,77124,0.96
514,ÿÿÿplayer,n,81358,0.91
515,ÿÿÿagree,v,76753,0.96
516,ÿÿÿespecially,r,76304,0.96
517,ÿÿÿrecord,n,77509,0.94
518,ÿÿÿpick,v,77197,0.95
519,ÿÿÿwear,v,77921,0.94
520,ÿÿÿpaper,n,75383,0.97
521,ÿÿÿspecial,j,75298,0.97
522,ÿÿÿspace,n,75395,0.96
523,ÿÿÿground,n,74713,0.97
524,ÿÿÿform,n,78493,0.92
525,ÿÿÿsupport,v,76544,0.94
526,ÿÿÿevent,n,75559,0.95
527,ÿÿÿofficial,n,79026,0.91
528,ÿÿÿwhose,d,74914,0.96
529,ÿÿÿmatter,n,73842,0.97
530,ÿÿÿeveryone,p,74534,0.96
531,ÿÿÿcenter,n,74559,0.96
532,ÿÿÿcouple,n,74871,0.96
533,ÿÿÿsite,n,75932,0.94
534,ÿÿÿend,v,73099,0.97
535,ÿÿÿproject,n,75446,0.94
536,ÿÿÿhit,v,73999,0.95
537,ÿÿÿbase,v,75887,0.93
538,ÿÿÿactivity,n,77980,0.9
539,ÿÿÿstar,n,73695,0.95
540,ÿÿÿtable,n,75228,0.93
541,ÿÿÿneed,n,74877,0.93
542,ÿÿÿcourt,n,74112,0.94
543,ÿÿÿproduce,v,74169,0.94
544,ÿÿÿeat,v,73505,0.95
545,ÿÿÿAmerican,n,73063,0.95
546,ÿÿÿteach,v,72668,0.95
547,ÿÿÿoil,n,74386,0.93
548,ÿÿÿhalf,d,70930,0.97
549,ÿÿÿsituation,n,72603,0.95
550,ÿÿÿeasy,j,71602,0.96
551,ÿÿÿcost,n,73512,0.94
552,ÿÿÿindustry,n,73055,0.94
553,ÿÿÿfigure,n,74858,0.92
554,ÿÿÿface,v,69493,0.98
555,ÿÿÿstreet,n,71645,0.95
556,ÿÿÿimage,n,72216,0.94
557,ÿÿÿitself,p,71093,0.96
558,ÿÿÿphone,n,71599,0.95
559,ÿÿÿeither,r,69497,0.97
560,ÿÿÿdata,n,76594,0.88
561,ÿÿÿcover,v,69387,0.97
562,ÿÿÿquite,r,69966,0.96
563,ÿÿÿpicture,n,69229,0.97
564,ÿÿÿclear,j,68662,0.98
565,ÿÿÿpractice,n,73745,0.91
566,ÿÿÿpiece,n,68901,0.97
567,ÿÿÿland,n,69750,0.96
568,ÿÿÿrecent,j,70685,0.94
569,ÿÿÿdescribe,v,71377,0.93
570,ÿÿÿproduct,n,70883,0.94
571,ÿÿÿdoctor,n,69446,0.95
572,ÿÿÿwall,n,71390,0.93
573,ÿÿÿpatient,n,72217,0.91
574,ÿÿÿworker,n,69962,0.94
575,ÿÿÿnews,n,70051,0.94
576,ÿÿÿtest,n,69870,0.94
577,ÿÿÿmovie,n,69387,0.94
578,ÿÿÿcertain,j,67228,0.97
579,ÿÿÿnorth,n,68046,0.96
580,ÿÿÿlove,n,67495,0.96
581,ÿÿÿpersonal,j,67917,0.96
582,ÿÿÿopen,j,67218,0.97
583,ÿÿÿsupport,n,69431,0.93
584,ÿÿÿsimply,r,66712,0.97
585,ÿÿÿthird,m,67037,0.97
586,ÿÿÿtechnology,n,69565,0.93
587,ÿÿÿcatch,v,68214,0.94
588,ÿÿÿstep,n,66232,0.97
589,ÿÿÿbaby,n,67881,0.94
590,ÿÿÿcomputer,n,67399,0.95
591,ÿÿÿtype,n,68481,0.93
592,ÿÿÿattention,n,65271,0.97
593,ÿÿÿdraw,v,65198,0.97
594,ÿÿÿfilm,n,66724,0.95
595,ÿÿÿRepublican,n,71611,0.88
596,ÿÿÿtree,n,66630,0.94
597,ÿÿÿsource,n,66862,0.94
598,ÿÿÿred,j,66217,0.94
599,ÿÿÿnearly,r,64860,0.96
600,ÿÿÿorganization,n,67278,0.93
601,ÿÿÿchoose,v,64348,0.97
602,ÿÿÿcause,v,64531,0.97
603,ÿÿÿhair,n,69564,0.89
604,ÿÿÿlook,n,66194,0.94
605,ÿÿÿpoint,v,62980,0.98
606,ÿÿÿcentury,n,65667,0.94
607,ÿÿÿevidence,n,65360,0.94
608,ÿÿÿwindow,n,68303,0.9
609,ÿÿÿdifficult,j,63947,0.96
610,ÿÿÿlisten,v,64984,0.94
611,ÿÿÿsoon,r,63168,0.96
612,ÿÿÿculture,n,67128,0.91
613,ÿÿÿbillion,m,65243,0.93
614,ÿÿÿchance,n,62682,0.97
615,ÿÿÿbrother,n,63406,0.95
616,ÿÿÿenergy,n,64139,0.94
617,ÿÿÿperiod,n,64534,0.93
618,ÿÿÿcourse,n,64012,0.94
619,ÿÿÿsummer,n,62503,0.96
620,ÿÿÿless,d,62154,0.96
621,ÿÿÿrealize,v,61732,0.97
622,ÿÿÿhundred,m,61266,0.97
623,ÿÿÿavailable,j,63187,0.94
624,ÿÿÿplant,n,63476,0.93
625,ÿÿÿlikely,j,63002,0.94
626,ÿÿÿopportunity,n,62422,0.95
627,ÿÿÿterm,n,62962,0.94
628,ÿÿÿshort,j,60451,0.98
629,ÿÿÿletter,n,60369,0.98
630,ÿÿÿcondition,n,63489,0.93
631,ÿÿÿchoice,n,60487,0.97
632,ÿÿÿplace,v,60927,0.96
633,ÿÿÿsingle,j,60072,0.97
634,ÿÿÿrule,n,61062,0.95
635,ÿÿÿdaughter,n,60424,0.96
636,ÿÿÿadministration,n,62071,0.93
637,ÿÿÿsouth,n,60630,0.96
638,ÿÿÿhusband,n,60126,0.96
639,ÿÿÿCongress,n,62841,0.92
640,ÿÿÿfloor,n,62458,0.92
641,ÿÿÿcampaign,n,64172,0.9
642,ÿÿÿmaterial,n,62440,0.92
643,ÿÿÿpopulation,n,62999,0.91
644,ÿÿÿwell,i,61219,0.93
645,ÿÿÿcall,n,59543,0.96
646,ÿÿÿeconomy,n,60990,0.93
647,ÿÿÿmedical,j,59424,0.96
648,ÿÿÿhospital,n,58669,0.97
649,ÿÿÿchurch,n,59466,0.96
650,ÿÿÿclose,v,60884,0.93
651,ÿÿÿthousand,m,58307,0.97
